steps,time,reward,delta,converged
1,0.0006079999999997199,0.6666666666666666,0.3333333333333333,False
2,0.0005779999999973029,0.9074074074074073,0.06481481481481483,False
3,0.0005710000000007653,1.007201646090535,0.021604938271604923,False
4,0.0005680000000012342,1.0470893347050754,0.006901577503429374,False
5,0.0005640000000042278,1.0633142734212264,0.002257658893461365,False
6,0.0005629999999996471,1.0699687320505709,0.0008378899303967888,False
7,0.0005609999999975912,1.072686287944348,0.0002952504664205449,False
8,0.0005609999999975912,1.0738035292838894,0.00011177690850207355,False
9,0.0005689999999987094,1.0742670581897327,4.162836466938685e-05,False
10,0.0005629999999996471,1.0744608191371658,1.5796757114006576e-05,False
11,0.0005620000000021719,1.0745422626803998,6.087747930206156e-06,True
